"型番","メーカー名","数量","単価（税込）","金額（税込）","納期目安","商品番号","商品名","商品詳細URL"
G800W268018EU,Amphenol Communications Solutions,2,154.00,308,5日程度?,42970067,PIN HEADER 2.54MM PITCH STR,1X40,https://www.marutsu.co.jp/pc/i/42970067/
SPZT3904T1G,オンセミコンダクター,20,170.50,3410,5日程度?,30652160,TRANS NPN 40V 0.2A SOT223,https://www.marutsu.co.jp/pc/i/30652160/
NCP1117ST33T3G,オンセミコンダクター,3,287.57,863,5日程度?,16339346,IC REG LINEAR 3.3V 1A SOT-223,https://www.marutsu.co.jp/pc/i/16339346/
691137710002,WURTH ELEKTRONIK,12,80.46,965,5日程度?,26914146,TERM BLK 2POS SIDE ENTRY 5MM PCB,https://www.marutsu.co.jp/pc/i/26914146/
T1635-600G-TR,STマイクロエレクトロニクス,10,266.20,2662,5日程度?,15939773,TRIAC ALTERNISTOR 600V 16A D2PAK,https://www.marutsu.co.jp/pc/i/15939773/
MOC3052M,オンセミコンダクター,6,271.86,1631,5日程度?,15863490,OPTOISOLTR 4.17KV TRIAC 1CH 6DIP,https://www.marutsu.co.jp/pc/i/15863490/
MOC3062M,オンセミコンダクター,6,317.43,1905,5日程度?,13399343,OPTOISOLTR 4.17KV TRIAC 1CH 6DIP,https://www.marutsu.co.jp/pc/i/13399343/
ERZ-V10D201,Panasonic,10,104.50,1045,5日程度?,12569803,VARISTOR 200V 3.5KA DISC 11.5MM,https://www.marutsu.co.jp/pc/i/12569803/
B32682A6222K000,EPCOS (TDK),10,140.01,1400,5日程度?,26363472,CAP FILM 2200PF 10% 630VDC RAD,https://www.marutsu.co.jp/pc/i/26363472/
RC1206FR-10150RL,Yageo,30,4.71,141,5日程度?,40955675,RES 150 OHM 1% 1/4W 1206,https://www.marutsu.co.jp/pc/i/40955675/
RC1206FR-10390RL,Yageo,30,10.06,302,5日程度?,40955527,RES 390 OHM 1% 1/4W 1206,https://www.marutsu.co.jp/pc/i/40955527/
RC1218JK-0751RL,Yageo,10,35.36,354,5日程度?,46841187,RES 51 OHM 5% 1W 1812 WIDE,https://www.marutsu.co.jp/pc/i/46841187/
TLP250H(D4,F),東芝,10,451.00,4510,5日程度?,31093334,OPTOISO 3.75KV PUSH PULL 8-DIP,https://www.marutsu.co.jp/pc/i/31093334/
4N35,VISHAY,3,187.00,561,5日程度?,15497882,OPTOISO 5KV TRANS W/BASE 6-DIP,https://www.marutsu.co.jp/pc/i/15497882/
MDB6S,オンセミコンダクター,3,179.14,537,5日程度?,15851368,BRIDGE RECT 1P 600V 1A 4MICRODIP,https://www.marutsu.co.jp/pc/i/15851368/
SM5063,Diotec Semiconductor,10,42.59,426,5日程度?,47074908,DIODE STANDARD 1000V 2A DO213AB,https://www.marutsu.co.jp/pc/i/47074908/
BZD27C10P-M3-08,VISHAY,10,50.91,509,5日程度?,42421037,DIODE ZENER 10V 800MW DO219AB,https://www.marutsu.co.jp/pc/i/42421037/
50YXF10MEFC5X11,Ruby-con,10,88.00,880,5営業日程度,885549,CAP ALU ELEC 10UF 50V RAD,https://www.marutsu.co.jp/pc/i/885549/
B32529C6102M289,EPCOS (TDK),3,78.57,236,5日程度?,48280446,CAP FILM 1000PF 20% 400VDC RAD,https://www.marutsu.co.jp/pc/i/48280446/
LTST-C150KGKT,Lite-on,15,30.80,462,5日程度?,15149812,LED GREEN CLEAR 1206 SMD,https://www.marutsu.co.jp/pc/i/15149812/
LTST-C150KRKT,Lite-on,15,30.80,462,5日程度?,15149814,LED RED CLEAR 1206 SMD,https://www.marutsu.co.jp/pc/i/15149814/
RC1206FR-10180RL,Yageo,30,10.06,302,5日程度?,40955727,RES 180 OHM 1% 1/4W 1206,https://www.marutsu.co.jp/pc/i/40955727/
RC1206FR-10100RL,Yageo,30,4.71,141,5日程度?,40955669,RES 100 OHM 1% 1/4W 1206,https://www.marutsu.co.jp/pc/i/40955669/
RC1206FR-101KL,Yageo,10,4.71,47,5日程度?,40955630,RES 1K OHM 1% 1/4W 1206,https://www.marutsu.co.jp/pc/i/40955630/
RC1206FR-103K3L,Yageo,10,3.46,35,5日程度?,40955672,RES 3.3K OHM 1% 1/4W 1206,https://www.marutsu.co.jp/pc/i/40955672/
RC1206FR-1010KL,Yageo,10,5.19,52,5日程度?,40708170,RES 10K OHM 1% 1/4W 1206,https://www.marutsu.co.jp/pc/i/40708170/
RC1206FR-1047KL,Yageo,10,4.71,47,5日程度?,40955545,RES 47K OHM 1% 1/4W 1206,https://www.marutsu.co.jp/pc/i/40955545/
691137710003,WURTH ELEKTRONIK,10,129.64,1296,5日程度?,26914147,TERM BLK 3POS SIDE ENTRY 5MM PCB,https://www.marutsu.co.jp/pc/i/26914147/
RC1218JK-07100RL,Yageo,10,23.10,231,5日程度?,35581863,RES 100 OHM 5% 1W 1812 WIDE,https://www.marutsu.co.jp/pc/i/35581863/
STD7NK40ZT4,STマイクロエレクトロニクス,8,484.00,3872,5日程度?,15494992,MOSFET N-CH 400V 5.4A DPAK,https://www.marutsu.co.jp/pc/i/15494992/
NC191LT10,Chip Quik Inc.,1,1666.10,1666,5日程度?,34363690,SMOOTH FLOW LOW TEMP SOLDER PAST,https://www.marutsu.co.jp/pc/i/34363690/
NC191,Chip Quik Inc.,1,2012.36,2013,5日程度?,34304498,SMOOTH FLOW TACK FLUX NO-CLEAN I,https://www.marutsu.co.jp/pc/i/34304498/
